author,text,likes,published_at
@MegnathDhakal-x1z,केपि वलि लाई तगिरततार गर्नैपर्छ,0,2026-03-11T06:22:12Z
@dorlungeli7788,Kp oli ek patra matrai ho yo desh desh sakaune prapancha thiyo nispaksha xanbin vayo vane sarkarko netritwa garne dekhi mukhya garer samajik sanjalma anek vram fijayar bidhyarthi uchalne andolan hyjyak garne sabailai jel halnu parxa ek pakshalai matra karbahi vayo vane jenzi2 utpanna hunxa arko pakhako ghar jalxa faida kasailai hunna belaima sochaun desh niyantran bahir jala hosiyar,0,2026-03-11T01:57:44Z
@goldenthapa6973,कस्को कारणले जलायो ? तेरो कारणले जलायो ।,0,2026-03-10T15:16:16Z
@JanakpurBhadrapur,Bhrastachar roknu nasakne ultai janta ko nai dosh ra galti dekhaune janta lai saihya hudaina hola?,0,2026-03-10T14:56:52Z
@goldenthapa6973,यो चाहिँ गैरजिम्मेवार उत्तर !!,0,2026-03-10T14:49:52Z
@dikshyabhattaraikarki7275,Mar kp mar rest in peace 🤮🤮,0,2026-03-10T14:01:59Z
@phuyalbhojraj2058,"J sukai phataha gaaaf gaaaar kp oli. 
Jattti sukai yo muddda lai daya baya gaaaaar 
Antim phaisala vaneko 
Mancheko jyan badhi mulyawaaan huncha 
Tyo Taile 80 janako hatya gareko chas 
Samrachana ta bancha baaaaal vayo
Tyo mareko mancheko jyan phirta garna sakchas 
Taro antim yatra huncha huncha 100% huncha 
Ki artaghat ma ki jail ma 
Yaaaaad gaaar 80 jana ko ragat piyako chhhas Taile 
Yah tyatikai sukha pauchas 
Jantale chahe vane k huncha dekhisakis 
Kanun le jail halena vane 
Janatale talai galatyara tero tauko katchan france ma raja ko tauko kate jasari ra ragat piuchan vimsen le 
Dusasanko ragat piya jasari 
Jattti vuknu cha vuk 
Tayari gardai gaaar 
Aryaghat wa jail jane vanera

Hatyara oli 
J&g le jiwan daaaan diyaka hun 
Ahile g&g mathi nai khaniyako cha 
Tyahi ho Jun thal ma khayo tyahi thal ma dulo paryo vaneko 
Ahankari 2 paise lampat bhrasta mafiya 
Mafiya haruko jhundako naike",0,2026-03-09T22:59:04Z
@GobindChhantyal,न बोल्न सक्ने न कोइसन को जबाब दिन सक्ने यस्ताको कार्यकर्ता बनेर हिन्ने हरु लाई लाज लग्दैन,0,2026-03-09T20:40:58Z
@GobindChhantyal,काम भन्नी भुत्रो नगरेसि आलो चना खबर दार गर्दा सामाजिक सन्जाल बन्द गर्ने नियत यस्तो पनि हुन्छ लाज लाग्दैन घुमाइ फिराइ आफू  जोगिन खोज्ने अझै यस्तालाइ नेपाली जनताले  मासु भात को पछि लागेर भोत दिने बेकुब त जनता नै हैनर आफैले पालेको कुकुर ले आफैलाइ तोक्छ भनेको यहि हो तर यस्पाली चाहिँ जनता को चेतना पलायको छ धन्यवाद छ र केपि बा लाई चाहिँ सजाय हुनै पर्छ,0,2026-03-09T20:38:38Z
@SumantrajYadav-m4t,19 Jana ki 76 jana,0,2026-03-09T02:23:37Z
@BishnuKatuwal-r8b4o,माफी माग्ने अनौठो राजनीति घिन्लाग्दो पत्रकारिता,0,2026-03-08T16:56:00Z
@SuryaBahadurTamang-zg3el,Kei Haina  paap dhuri bata karaako,0,2026-03-08T12:45:26Z
@SuryaBahadurTamang-zg3el,Jimma ta linu parthyo  khai ta desh ra janta ko name ma dui sabda sambodhan khai ta puxar lukayera  suikuchha thyokyo ta!!! 🥺🥺🥺🥺,0,2026-03-08T12:43:07Z
@mohandahal7888,Yo kukur varastachariko dalal namari desh lay Santi paudaina khate kukur baltkari nalayak desh ko panouti kaputro baltkari Ko samrakxes 🤬🐕🤬,0,2026-03-06T22:53:01Z
@AaishaBhusal-m9o,K bolnu hunxw ba k bolnu hunxw bhujini gari bolnu na plz 🙏😡🙌🙄,0,2026-03-04T18:08:43Z
@punarampokhrel5005,यो जस्तो ब्यक्ति नँबर एक को चुतिया हो जसले कहिल्यै स्वीकार्दैन ।,0,2026-03-03T04:54:48Z
@khagendrabasnet7349,यो पाखण्डी हो! जीवनका हरेक छन् अपराध गर्ने मानिसको रुपमा अपराध क्रमि हो!  सुन्नु उच्चित छैन!,0,2026-03-02T00:58:13Z
@DalBahadurDangal,याेलाज काेपसाराे,0,2026-03-01T23:22:50Z
@BASUDEVREGMI-x9l,Aa sir yo janu kurchai ko daka...,0,2026-03-01T18:56:48Z
@RajKumar-c2r7b,Khulera bolnubu yad voli,0,2026-03-01T18:02:39Z
@RajKumar-c2r7b,Gc andchh .....what..is...,0,2026-03-01T18:00:58Z
@MilanBasnet-z6p,निलो कार्न्ति जिन्दावाद झोले सरकार मुर्दावाद,1,2026-03-01T17:03:31Z
@KaliDas-o9u,Nabol,0,2026-03-01T15:34:01Z
@shankarpandey9781,घमण्ड ले बिग्र्यो,0,2026-03-01T04:48:50Z
@binayk.shrestha3553,....there is a limit to lying🤔🤔🤔,0,2026-03-01T02:46:58Z
@jagdishmallaha760,आदोलन हुँदा गोली चलाउन पहिले देखी खप्पीस छौ तिमी ।,0,2026-02-28T22:02:45Z
@jagdishmallaha760,भृष्टचार को हिशाव ट्रान्सपरेन्सी किन पहिला देखी भएन ?,0,2026-02-28T21:55:12Z
@AvashRokka-q9r,Bacha Marne ta KP Oli ho raix,0,2026-02-28T20:43:51Z
@AvashRokka-q9r,Thikai pare talai,0,2026-02-28T20:37:03Z
@basantashrestha1033,"यो अमेरिकी सिटिजन लीएर आज छ कि के हो खाली भड्काउने गर्छ। के पी 
को डर ले जन्ता सजग हुनुपर्ने छ।
के पी मुर्दावाद 😅",0,2026-02-28T19:11:34Z
@BaburamBk-r6w,Thu murdar chor,0,2026-02-28T17:35:45Z
@pradeepsha7774,Dikka lagdai interview,0,2026-02-28T15:25:44Z
@bisnubhatta5499,त्यो कर हामिले चाट्नु पर्यो पनि भन्न पातकी !,0,2026-02-28T10:44:11Z
